customer_id,country,age_range,signup_date
786,Spain,56-65,2024-06-08
740,Spain,16-25,2025-03-09
476,Germany,56-65,2025-03-03
515,Germany,56-65,2025-03-21
238,France,16-25,2024-12-16
328,Germany,46-55,2024-11-23
221,Germany,36-45,2025-02-05
454,Italy,16-25,2024-02-14
639,Italy,56-65,2025-03-26
845-X,,26-35,
276,France,36-45,2024-09-08
268,Germany,46-55,2025-02-19
860,Germany,26-35,2024-06-01
930,Netherlands,46-55,2025-02-15
844,Netherlands,16-25,2024-04-22
299-X,Italy,26-35,2024-05-08
24,Spain,56-65,2024-04-12
102,France,16-25,2024-02-24
577,Netherlands,26-35,2025-04-29
CUST-692,France,56-65,2025-05-05
727,Portugal,26-35,2025-03-09
,Germany,36-45,2025-05-04
168,France,36-45,2025-01-23
137-X,France,,2025-01-22
965,Italy,46-55,2025-03-23
924-X,France,56-65,2025-01-05
243,Germany,16-25,2025-01-27
244,,,2025-03-13
438,,16-25,
696,France,46-55,2025-03-18
789,Portugal,16-25,2024-08-20
665,Portugal,26-35,2025-04-06
285,France,16-25,2025-02-10
438,Germany,16-25,2025-05-21
356,Germany,46-55,2024-08-14
202,Netherlands,36-45,2025-05-16
531,Spain,26-35,2025-04-01
470,Italy,56-65,2025-04-05
607,France,36-45,2025-02-17
940,Italy,46-55,2024-09-20
513,France,46-55,2025-06-12
177,Italy,56-65,2025-03-16
682,Portugal,16-25,2025-03-10
,France,36-45,2025-04-15
38,Spain,26-35,2025-06-03
121,Italy,16-25,2024-11-24
698,Portugal,36-45,2025-04-05
CUST-913-X,Portugal,26-35,2025-01-27
153,France,26-35,2025-05-21
663,Netherlands,26-35,2025-03-08
193,France,16-25,2024-07-24
908,Germany,16-25,2025-02-13
481,France,56-65,2025-05-09
858,Germany,16-25,2025-04-10
CUST-253,France,26-35,2025-04-01
307,Italy,56-65,2024-03-21
442,Germany,16-25,2025-04-22
2,France,36-45,2025-02-24
991,Netherlands,46-55,2024-08-07
330,Germany,16-25,2025-02-21
479,Netherlands,56-65,2024-02-13
564,Italy,26-35,2025-02-23
707,France,46-55,
CUST-772,Spain,,2025-01-29
610,France,16-25,2025-04-12
526,France,26-35,2024-09-15
666,Germany,16-25,2024-08-27
524,France,16-25,2024-08-20
57,France,16-25,2024-12-09
656,Germany,56-65,2025-03-24
496,Italy,16-25,2025-03-31
960,Germany,56-65,2025-01-13
744,Italy,36-45,2025-02-18
393,France,46-55,2025-04-09
82,France,16-25,2024-02-18
848,Netherlands,36-45,2024-12-05
452-X,,56-65,2024-06-18
821,Italy,46-55,2024-04-25
615,Portugal,46-55,2025-04-06
896,Portugal,46-55,2025-04-10
661,Spain,16-25,2025-01-29
6,Spain,46-55,2024-12-14
443,Spain,16-25,2024-07-05
181-X,Italy,36-45,2025-06-12
852,Portugal,46-55,2025-03-24
985,Germany,46-55,2024-01-17
421,Germany,16-25,2024-04-05
893,Netherlands,46-55,2024-10-15
CUST-490,Germany,56-65,
64,Spain,16-25,2025-01-20
830,Italy,56-65,2025-02-26
575,,26-35,
571,Netherlands,56-65,2025-01-21
CUST-631,Portugal,36-45,2025-02-04
477,Spain,16-25,2025-02-23
309,Spain,46-55,2025-04-18
112-X,France,26-35,2025-04-13
652,Germany,56-65,2025-03-15
374,Italy,16-25,2025-03-03
351,France,36-45,2024-12-25
913,Portugal,26-35,2025-01-27
979,Spain,16-25,2024-02-04
571,Netherlands,56-65,2025-01-21
850,Netherlands,16-25,2024-09-10
932,France,26-35,2025-03-12
439,Germany,36-45,2025-05-11
748,,46-55,2025-03-09
CUST-88-X,Germany,36-45,2025-04-10
72,Spain,36-45,2025-02-20
256,Italy,16-25,2025-05-13
642,Portugal,46-55,2025-05-14
885,Spain,56-65,2025-04-10
CUST-344-X,Netherlands,16-25,2025-04-03
939,Netherlands,56-65,2025-03-13
829,Portugal,26-35,2025-04-15
863,Germany,16-25,2025-03-07
217,Italy,56-65,2025-04-10
586,Portugal,56-65,2024-01-02
675,Italy,36-45,2025-01-19
164,Spain,56-65,2024-04-01
194,Netherlands,16-25,2025-04-22
246,Spain,26-35,2025-05-02
289-X,Netherlands,,
737,Italy,46-55,2024-09-23
967,Italy,26-35,2024-11-12
475,Italy,26-35,2025-03-15
83,Germany,56-65,2024-02-28
52,France,16-25,2024-05-29
619,Italy,26-35,2025-02-19
CUST-217,,56-65,2025-04-10
530,Spain,26-35,2024-05-16
615,,46-55,2025-04-06
604,Italy,46-55,2025-04-17
494,,36-45,2024-08-18
426,Spain,56-65,2024-08-18
716,France,26-35,2024-07-17
CUST-516,Germany,,2025-03-27
512,Germany,56-65,2025-02-01
667,Netherlands,36-45,2024-05-23
781,Netherlands,56-65,2024-05-19
85,Italy,56-65,2024-07-06
34,France,56-65,2025-01-07
846,Portugal,46-55,2025-02-25
116,Netherlands,,2025-02-27
135,France,36-45,2025-01-21
536,France,56-65,2024-08-21
273,France,16-25,2025-03-01
166,France,46-55,2025-01-01
223,Germany,16-25,2025-03-27
903,Spain,16-25,2025-04-04
551,France,16-25,2025-03-11
520,Netherlands,16-25,2024-04-30
505,,,2025-03-28
5,Spain,26-35,
462,Italy,36-45,2025-03-08
978,,36-45,2025-04-10
511,France,16-25,2025-04-18
355-X,Spain,,2025-03-24
306,Germany,26-35,2024-05-18
792,Italy,16-25,2025-03-06
212,Spain,46-55,2024-02-23
205,Netherlands,26-35,2024-12-25
802,Spain,36-45,2025-03-03
542-X,France,46-55,
125,Germany,46-55,
825,Netherlands,26-35,2025-02-09
397,France,36-45,2025-02-08
714,Portugal,46-55,2025-03-22
53,Italy,46-55,2025-05-12
239,Netherlands,46-55,2024-10-30
952,Italy,16-25,2025-03-14
167,France,46-55,2025-03-07
420,Germany,36-45,2025-03-07
701,Spain,26-35,2025-02-06
981,Spain,26-35,2025-04-29
266,Italy,46-55,2024-10-06
589,Italy,16-25,2024-05-09
623,Netherlands,16-25,2025-03-14
597,Netherlands,36-45,2025-01-19
523,France,26-35,2024-04-25
769-X,Italy,46-55,
59,Germany,16-25,2025-03-09
227,France,46-55,2025-04-23
503,Italy,16-25,2025-04-08
323,Netherlands,26-35,2025-04-03
440,Italy,16-25,2024-06-08
405,Germany,26-35,2024-03-03
947,Netherlands,16-25,2024-10-12
CUST-872,Netherlands,26-35,2025-02-07
150,France,46-55,2025-06-06
583,Netherlands,36-45,2024-03-21
204,Germany,16-25,2025-05-03
559,Italy,26-35,2024-10-21
81,Germany,46-55,2025-04-03
425,Italy,46-55,2025-02-10
125,Germany,46-55,2025-05-05
206,Spain,36-45,2025-04-29
452,France,56-65,2024-06-18
545,Germany,16-25,2025-04-22
835,Portugal,46-55,2025-04-26
435,Netherlands,36-45,2025-02-17
411,Germany,56-65,2025-04-13
500,Germany,56-65,2025-04-20
990,Spain,46-55,2025-02-27
741,Portugal,16-25,2025-03-23
839,,36-45,
209,Netherlands,46-55,2025-01-22
685,Spain,36-45,2025-04-14
767,Netherlands,36-45,2025-05-01
564,,26-35,2025-02-23
CUST-806,Italy,26-35,2025-05-02
260,Netherlands,36-45,2024-12-03
54,Italy,26-35,2025-02-13
580,Italy,46-55,2025-05-06
33,Italy,56-65,2025-02-26
CUST-266,Italy,46-55,2024-10-06
5,Spain,26-35,2025-04-26
490,Germany,56-65,2025-01-22
592,France,16-25,2024-12-08
861,,26-35,
655,Italy,56-65,2025-03-20
986,Netherlands,16-25,2025-03-24
20,France,26-35,2025-04-20
478,Germany,56-65,2024-04-17
,Germany,46-55,2025-05-10
973,Italy,56-65,2025-03-22
917,Germany,26-35,2024-05-07
643,Portugal,16-25,2025-02-26
160,Germany,56-65,2025-02-12
566,Italy,36-45,2025-02-11
590,Germany,26-35,2024-08-07
602,Portugal,16-25,2025-05-09
283,France,56-65,2025-04-13
79,Spain,16-25,2024-08-23
364,Spain,46-55,2024-01-05
938,France,26-35,2024-02-20
237,Germany,46-55,2025-02-14
720,Spain,46-55,2025-03-21
866,Spain,36-45,2025-01-18
709,Germany,36-45,2025-03-26
169,Germany,36-45,2025-03-19
107,Germany,46-55,2025-04-06
853,Germany,26-35,2024-08-14
52,,16-25,2024-05-29
638,France,46-55,2025-04-11
185,France,16-25,2024-02-04
292,Germany,16-25,2024-12-10
489,Germany,56-65,2025-05-17
385,Germany,46-55,2025-04-11
234,Italy,26-35,2025-02-11
651,France,16-25,2024-07-16
822,Germany,56-65,2025-04-30
433,France,16-25,2024-01-29
648,Germany,36-45,2025-02-18
721,Netherlands,16-25,2025-02-27
555,Spain,26-35,2024-02-21
944,Spain,16-25,2024-08-13
231,France,16-25,2025-02-21
995,Germany,56-65,2024-02-15
100,Italy,26-35,2025-01-30
233,France,26-35,2025-03-27
61,Spain,46-55,2024-10-20
CUST-83,,56-65,2024-02-28
516,Germany,,2025-03-27
185,France,16-25,2024-02-04
29,Spain,56-65,2025-03-27
934-X,Portugal,26-35,2024-08-17
229,France,46-55,2024-07-20
CUST-114,Italy,16-25,2024-05-14
925,France,16-25,2025-01-09
968,Italy,16-25,2025-04-16
CUST-982,Italy,56-65,
955,Portugal,26-35,2025-04-14
565,Spain,46-55,2025-05-08
824,Italy,46-55,2024-03-15
631,Portugal,36-45,2025-02-04
897,France,56-65,2025-03-18
CUST-214-X,Spain,16-25,
837,Germany,46-55,2025-03-02
456,Italy,26-35,2025-01-31
314,Germany,26-35,2025-03-19
394,Spain,56-65,2025-03-03
CUST-39,France,,2025-04-05
540,Germany,56-65,2024-11-10
490,Germany,56-65,2025-01-22
446,Spain,46-55,2024-08-30
999,Germany,56-65,2025-02-21
317,Italy,46-55,2024-08-18
563,Netherlands,46-55,2025-04-06
CUST-16,Germany,26-35,2025-04-05
313,France,16-25,2025-01-13
21,France,56-65,2025-03-31
759,France,36-45,2025-02-09
194,Netherlands,16-25,2025-04-22
447,France,26-35,2025-03-19
107,Germany,46-55,2025-04-06
772,Spain,16-25,2025-01-29
881,Portugal,36-45,2025-03-03
764,,26-35,2025-05-12
142,Italy,36-45,2024-08-29
575,Netherlands,26-35,2025-04-15
CUST-757-X,Italy,36-45,
879,Netherlands,46-55,2025-05-21
300,France,56-65,2024-05-15
198,Germany,26-35,2025-03-14
95,Italy,46-55,2024-06-23
497,Germany,36-45,2025-02-10
947,Netherlands,16-25,2024-10-12
482,Italy,56-65,2024-10-12
598,Portugal,16-25,2025-02-06
894,Netherlands,,2025-02-01
267,Spain,46-55,2025-02-13
463,Spain,16-25,2025-03-16
687,France,26-35,2025-05-09
404,Germany,56-65,2025-03-26
726,Germany,56-65,2025-04-03
442-X,Germany,16-25,
207,Germany,16-25,2025-04-12
539,Germany,26-35,2024-05-31
803,Italy,36-45,2024-07-26
745,Italy,46-55,2025-04-10
894,Netherlands,36-45,2025-02-01
43,,56-65,2025-04-07
950,Italy,26-35,2024-10-10
14,Germany,46-55,2025-03-08
250,Netherlands,36-45,2024-10-22
669,Netherlands,36-45,2024-07-19
959,Spain,26-35,2025-04-02
589-X,Italy,16-25,
332,Netherlands,46-55,2024-02-02
973,Italy,,2025-03-22
834,Netherlands,26-35,2025-04-19
966,,46-55,2025-03-28
311,Italy,26-35,2025-02-22
299,Italy,26-35,2024-05-08
450,Spain,46-55,2024-03-06
994,Spain,26-35,2024-06-06
60,Italy,56-65,2025-02-17
112,France,26-35,2025-04-13
CUST-684-X,Netherlands,56-65,2025-04-06
122,Germany,36-45,2025-02-08
270,Germany,26-35,2025-02-27
CUST-91,Netherlands,16-25,2025-04-02
CUST-74,France,36-45,
44,Germany,26-35,2024-12-25
571,Netherlands,56-65,2025-01-21
11,,16-25,2024-07-07
867,France,46-55,2025-03-27
614,Netherlands,26-35,2024-08-05
722,Italy,26-35,2024-05-07
838,Spain,46-55,2025-03-27
264,Netherlands,56-65,2025-03-23
797,Netherlands,46-55,2024-05-26
367,Netherlands,46-55,2025-03-19
,Germany,26-35,2024-06-01
957,,16-25,2025-01-18
729,Portugal,36-45,2025-04-24
678,Italy,46-55,2024-11-21
156,France,26-35,2025-01-20
261,France,56-65,2025-01-01
203,Italy,46-55,2025-04-18
828,France,16-25,2025-03-08
430,France,46-55,2024-05-22
556,Italy,16-25,2025-03-27
676,Portugal,26-35,2025-04-26
345-X,,,2024-04-08
51,Germany,56-65,2025-02-06
548,Germany,36-45,2025-03-09
982,Italy,56-65,2025-01-27
708,Netherlands,36-45,2024-12-11
859,France,56-65,2024-04-08
17,France,26-35,2025-04-17
CUST-157,Italy,,2025-05-11
84,,,2024-06-18
480,Spain,16-25,2024-12-05
,Germany,56-65,2025-02-01
257,Germany,26-35,2024-08-24
308,Netherlands,36-45,2025-01-26
535,Germany,56-65,2024-11-02
387,France,46-55,2025-02-04
369,Netherlands,36-45,2025-04-01
496,Italy,16-25,2025-03-31
259,Germany,36-45,2025-03-25
107,,46-55,2025-04-06
CUST-399,,,
777,,36-45,2025-05-02
116,Netherlands,56-65,2025-02-27
884,Spain,26-35,2025-04-13
170,France,36-45,2025-04-12
504,Netherlands,16-25,2025-04-21
745,Italy,46-55,2025-04-10
372,Italy,36-45,2024-12-24
45,Italy,46-55,2024-05-31
CUST-940,Italy,46-55,2024-09-20
49,Netherlands,16-25,2025-04-03
814,Italy,46-55,2024-04-29
448,France,26-35,2024-03-26
65,Spain,16-25,2025-05-09
599-X,Italy,,2024-05-05
522,Spain,16-25,2025-02-12
273,France,,2025-03-01
856,France,46-55,2024-04-21
868,Portugal,16-25,2024-12-31
941,Italy,56-65,2024-10-09
538,Netherlands,46-55,2025-04-01
932,France,26-35,2025-03-12
621-X,Italy,36-45,2024-09-03
590,Germany,26-35,2024-08-07
88,Germany,36-45,2025-04-10
431,France,46-55,2024-06-19
,Spain,46-55,2025-04-19
441,Germany,36-45,2024-11-22
660,Italy,56-65,2025-04-23
550,Germany,56-65,2024-04-22
232,Spain,56-65,2025-03-21
460,Netherlands,56-65,2025-02-24
CUST-180,Germany,56-65,2025-02-13
216,Netherlands,16-25,2024-11-05
776-X,,56-65,2025-03-18
789,Portugal,16-25,2024-08-20
CUST-147,Germany,36-45,2025-02-13
736,Germany,26-35,2025-02-19
903,Spain,16-25,2025-04-04
274,Germany,16-25,2025-04-02
247,Netherlands,46-55,2025-02-14
199,Italy,36-45,2025-02-23
780,Portugal,16-25,2025-03-28
534,Italy,56-65,2024-08-12
567,Netherlands,26-35,2025-04-19
331,Spain,56-65,2025-04-02
475,Italy,26-35,2025-03-15
376,Germany,36-45,2025-04-16
151,Spain,56-65,2025-04-02
817,Netherlands,56-65,2025-02-11
584,Italy,26-35,2024-07-05
103-X,France,56-65,2025-02-17
CUST-88,Germany,36-45,2025-04-10
537,Netherlands,36-45,2024-06-20
757,Italy,36-45,2024-12-11
297,France,56-65,2024-12-09
961,Germany,56-65,2025-03-24
530,Spain,26-35,2024-05-16
568,Netherlands,,
734,Netherlands,46-55,2025-03-28
196,Italy,16-25,2025-05-16
CUST-569,,36-45,2025-03-18
791,Portugal,16-25,2025-04-05
304,France,36-45,2025-03-13
599,Italy,36-45,2024-05-05
95,Italy,46-55,2024-06-23
CUST-100,Italy,,2025-01-30
CUST-192,,46-55,2025-03-03
924,France,56-65,2025-01-05
389,Italy,16-25,2024-12-11
562,Germany,16-25,2025-04-30
109,France,26-35,2025-04-17
988,Portugal,16-25,2025-02-23
CUST-73,Italy,26-35,
444,Germany,26-35,2025-01-28
457,Germany,16-25,2025-04-23
77,Netherlands,36-45,2024-01-22
CUST-750-X,Spain,46-55,2025-04-10
539,Germany,26-35,2024-05-31
27,Italy,16-25,2025-03-11
911,Spain,36-45,2025-02-04
253,France,26-35,2025-04-01
176,Germany,26-35,2025-04-28
43,Germany,56-65,2025-04-07
76,Germany,56-65,2025-02-17
880,Portugal,16-25,2025-01-07
514,France,56-65,2024-10-09
742-X,Portugal,56-65,
847,Spain,56-65,2024-04-13
128,Netherlands,56-65,2025-03-09
73,Italy,26-35,2024-11-09
900,Germany,36-45,2025-03-04
,Italy,56-65,2025-01-26
67,France,36-45,2025-03-19
CUST-192,Spain,46-55,2025-03-03
382,Netherlands,56-65,2024-07-25
41,Germany,36-45,2025-04-06
CUST-881,,,2025-03-03
945,Germany,16-25,2024-10-03
690,Spain,46-55,2025-04-30
408,Germany,46-55,2025-03-29
746,Italy,36-45,2024-10-24
865,Netherlands,16-25,2025-02-05
329,Netherlands,26-35,2024-09-24
321,Germany,36-45,2025-04-27
983,Germany,36-45,2025-04-21
8,Netherlands,46-55,2024-04-16
222,Netherlands,16-25,2024-08-05
975,Netherlands,46-55,2025-04-19
632,Portugal,46-55,2024-09-11
573,Italy,36-45,2024-04-22
330,Germany,,2025-02-21
181,Italy,36-45,2025-06-12
235,Italy,56-65,2025-04-08
557,Spain,56-65,2025-01-22
715,Germany,26-35,2024-12-17
628-X,France,46-55,
71,France,46-55,2024-06-09
568,Netherlands,26-35,2025-01-20
453,France,16-25,2025-02-08
271,Germany,16-25,2025-03-13
548,Germany,36-45,2025-03-09
629,Italy,26-35,2024-07-02
776,Portugal,56-65,2025-03-18
263,France,16-25,2025-04-11
50,Spain,26-35,2024-05-10
104-X,Netherlands,56-65,
124,France,36-45,
114,Italy,16-25,2024-05-14
912,Germany,,2025-02-24
339,France,16-25,2025-04-16
210,Spain,,2024-01-02
527,France,46-55,2024-12-24
118,Italy,16-25,2025-02-15
755,France,26-35,2024-09-08
761,Netherlands,36-45,2025-04-15
161,Spain,36-45,2025-03-26
78,Netherlands,16-25,2024-09-09
CUST-946,France,16-25,2025-04-03
769,Italy,46-55,2025-04-19
CUST-728,Netherlands,56-65,2025-04-02
3,Netherlands,46-55,2024-04-12
CUST-132-X,France,46-55,2025-02-26
895,France,26-35,2025-04-28
399,Italy,56-65,2024-06-27
278,Spain,56-65,2024-07-06
395,Spain,26-35,2025-01-14
873,France,,2025-04-01
168,France,36-45,
739,Portugal,26-35,2025-02-09
598,Portugal,16-25,2025-02-06
CUST-54,Italy,,2025-02-13
666,Germany,16-25,2024-08-27
CUST-271,Germany,16-25,
970,Germany,56-65,2025-04-18
162,Germany,36-45,2025-03-05
CUST-979-X,Spain,16-25,2024-02-04
CUST-485-X,Netherlands,36-45,2025-02-11
119,Germany,46-55,2024-01-21
518,Germany,46-55,2025-03-29
861,Portugal,26-35,2025-02-19
CUST-500,Germany,,2025-04-20
